x,y,type
0.0,0.0,entrance
0.3768445758127966,0.38461538461538464,entrance
0.7536891516255932,0.7692307692307693,entrance
1.1305337274383898,1.153846153846154,entrance
1.5073783032511865,1.5384615384615385,entrance
1.8842228790639832,1.9230769230769231,entrance
2.2610674548767795,2.307692307692308,entrance
2.6379120306895762,2.6923076923076925,entrance
3.014756606502373,3.076923076923077,entrance
3.3916011823151697,3.4615384615384617,entrance
3.7684457581279664,3.8461538461538463,entrance
4.145290333940763,4.230769230769231,entrance
4.522134909753559,4.615384615384616,entrance
4.898979485566356,5.0,entrance
,,none
4.898979485566356,5.0,row
5.404493435240059,5.0,row
5.9100073849137615,5.0,row
6.415521334587465,5.0,row
6.921035284261168,5.0,row
7.426549233934871,5.0,row
7.932063183608575,5.0,row
8.437577133282279,5.0,row
8.94309108295598,5.0,row
9.448605032629683,5.0,row
9.954118982303386,5.0,row
10.45963293197709,5.0,row
10.965146881650792,5.0,row
11.470660831324496,5.0,row
11.9761747809982,5.0,row
12.481688730671902,5.0,row
12.987202680345606,5.0,row
13.49271663001931,5.0,row
13.998230579693011,5.0,row
14.503744529366715,5.0,row
15.009258479040417,5.0,row
15.51477242871412,5.0,row
16.020286378387823,5.0,row
16.52580032806153,5.0,row
17.03131427773523,5.0,row
17.536828227408932,5.0,row
18.042342177082638,5.0,row
18.54785612675634,5.0,row
19.053370076430042,5.0,row
19.558884026103748,5.0,row
20.06439797577745,5.0,row
20.56991192545115,5.0,row
21.075425875124857,5.0,row
21.580939824798556,5.0,row
22.08645377447226,5.0,row
22.591967724145967,5.0,row
23.097481673819665,5.0,row
23.60299562349337,5.0,row
24.108509573167076,5.0,row
24.614023522840775,5.0,row
25.11953747251448,5.0,row
25.625051422188186,5.0,row
26.130565371861884,5.0,row
26.63607932153559,5.0,row
27.141593271209295,5.0,row
27.647107220882994,5.0,row
28.1526211705567,5.0,row
28.658135120230405,5.0,row
29.163649069904103,5.0,row
29.66916301957781,5.0,row
30.174676969251514,5.0,row
30.680190918925213,5.0,row
31.18570486859892,5.0,row
31.691218818272624,5.0,row
32.19673276794632,5.0,row
32.70224671762003,5.0,row
33.20776066729373,5.0,row
33.71327461696743,5.0,row
34.21878856664114,5.0,row
34.724302516314836,5.0,row
35.22981646598854,5.0,row
35.73533041566225,5.0,row
36.240844365335946,5.0,row
36.74635831500965,5.0,row
37.25187226468336,5.0,row
37.75738621435706,5.0,row
38.26290016403076,5.0,row
38.768414113704466,5.0,row
39.27392806337817,5.0,row
39.77944201305187,5.0,row
40.284955962725576,5.0,row
40.79046991239928,5.0,row
41.29598386207298,5.0,row
41.801497811746685,5.0,row
42.30701176142039,5.0,row
42.81252571109409,5.0,row
43.318039660767795,5.0,row
43.8235536104415,5.0,row
44.3290675601152,5.0,row
44.834581509788904,5.0,row
45.3400954594626,5.0,row
45.84560940913631,5.0,row
46.351123358810014,5.0,row
46.85663730848371,5.0,row
47.36215125815742,5.0,row
47.867665207831124,5.0,row
48.37317915750482,5.0,row
48.87869310717853,5.0,row
49.38420705685223,5.0,row
49.88972100652593,5.0,row
50.39523495619964,5.0,row
50.90074890587334,5.0,row
51.40626285554704,5.0,row
51.91177680522075,5.0,row
52.41729075489445,5.0,row
52.92280470456815,5.0,row
53.428318654241856,5.0,row
53.93383260391556,5.0,row
54.43934655358926,5.0,row
54.944860503262966,5.0,row
55.45037445293667,5.0,row
55.95588840261037,5.0,row
56.461402352284075,5.0,row
56.96691630195778,5.0,row
57.47243025163148,5.0,row
57.977944201305185,5.0,row
58.48345815097889,5.0,row
58.98897210065259,5.0,row
59.494486050326294,5.0,row
60.0,5.0,row
,,none
60.0,5.0,turn
60.61803398874989,5.097886967409693,turn
61.17557050458495,5.381966011250105,turn
61.61803398874989,5.824429495415053,turn
61.90211303259031,6.381966011250105,turn
62.0,7.0,turn
62.0,8.0,turn
61.90211303259031,8.618033988749895,turn
61.61803398874989,9.175570504584947,turn
61.17557050458495,9.618033988749895,turn
60.61803398874989,9.902113032590307,turn
60.0,10.0,turn
,,none
60.0,10.0,row
59.49579831932773,10.0,row
58.991596638655466,10.0,row
58.48739495798319,10.0,row
57.983193277310924,10.0,row
57.47899159663866,10.0,row
56.97478991596638,10.0,row
56.470588235294116,10.0,row
